Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
94,823772;76,500201;131,499183;146,383062;133,673031;132,326595;33,582825;29,403092;80,809826;77,131207
73,238532;73,487161;113,743265;111,983548;184,307819;122,065284;26,727523;35,572531;77,191311;76,765905
62,058955;63,165938;146,394659;112,922041;150,219866;136,955398;33,446338;24,69251;72,945931;94,277089
65,243803;96,768617;110,755472;142,582217;134,877864;155,826572;27,772424;27,312216;79,619029;98,654494
83,430963;109,569141;128,116228;130,381938;119,172105;130,010772;27,822173;36,776674;81,798904;101,114918
107,558389;86,472929;124,449777;110,856167;144,312379;106,421172;26,020691;26,828414;71,202085;72,781397
86,922068;104,333707;103,759793;56,49607;127,110197;138,223256;24,933163;23,010281;87,631508;83,36044
83,462132;109,38037;114,777754;87,877212;80,006066;156,701048;28,608111;29,113633;79,008265;69,832003
78,875429;95,425395;125,753952;98,971476;122,706505;143,863477;35,266456;31,81356;78,189977;91,637161
82,251791;60,816636;126,965367;122,44262;115,326663;155,229605;29,120137;36,875122;70,275293;105,712585
80,644232;61,248412;105,094513;102,214402;137,619241;140,498576;33,647078;25,595776;62,185939;106,684202
100,177025;114,685536;90,711314;129,468925;129,226235;132,778045;29,748507;25,952591;75,968998;56,366746
97,035705;74,636678;89,787156;109,756693;141,134617;103,443848;28,903352;38,257965;84,603335;89,88795
75,813964;96,463331;73,665931;133,251876;131,746513;86,334963;28,813372;26,568171;88,313799;100,895667
84,65548;61,526271;112,621226;132,272519;126,449068;95,236059;29,552603;30,035399;91,204041;80,816943
80,998306;74,011266;84,597535;95,268684;117,521698;186,803996;27,167838;30,097826;82,82918;62,624431
69,99457;94,865711;135,7308;112,205427;115,193774;86,954675;29,646602;30,2651;80,612781;60,901361
90,628649;70,464778;135,507182;127,288269;102,044113;93,903635;29,38087;34,410246;74,078236;103,626701
85,767069;63,940848;101,769001;145,811362;148,659926;129,236032;27,788326;25,967246;94,957629;83,18928
87,024768;144,538299;116,804322;106,252444;164,978879;139,285118;32,737042;31,027411;86,68868;70,835924
92,915471;107,825995;146,985907;108,433224;112,391414;114,046559;28,643408;24,954622;89,069963;75,61661
98,545324;60,055983;120,212274;92,534232;122,401295;195,92295;27,863713;24,689977;70,483698;87,403743
74,550906;76,221238;91,688297;153,811834;110,79245;83,833768;25,626863;27,640532;77,681177;98,958087
98,128975;60,857103;128,242924;125,376305;114,859041;133,044279;27,207113;34,398899;72,370317;94,962244
97,384388;85,638361;92,173252;142,292189;132,973695;144,623527;28,195453;29,138321;66,575851;88,413768
78,800332;61,867115;101,899011;170,769088;96,846237;169,7921;34,409678;36,26582;61,821201;79,912033
128,889209;101,628664;94,044879;113,188306;137,176325;119,578827;32,717794;24,956868;62,169328;75,121455
96,307283;68,505828;106,083991;119,395558;118,877306;130,254889;31,953317;31,776985;75,991053;93,550436
88,935801;112,857914;115,762072;122,810307;120,519582;99,007083;34,27434;33,349721;65,139582;62,224175
76,399764;118,876681;128,945967;172,260489;134,605183;153,070454;30,5915;26,345289;62,011227;88,847372
67,719043;82,818609;109,050599;92,584322;96,986918;118,635534;29,636918;34,308377;68,060695;85,572758
85,915882;127,16273;123,332634;131,813419;123,275567;125,694098;29,725226;27,546735;72,59921;73,687848
94,616975;58,879241;98,883934;126,74459;149,049892;136,067063;26,409131;25,413505;91,429461;73,541133
112,539845;69,299586;117,502563;80,581737;159,189854;156,598984;27,049021;24,944952;79,866435;73,324301
86,248772;62,336846;106,664377;165,191083;159,707314;154,227674;34,125515;34,069221;53,355578;94,126596
71,866041;79,622675;103,695728;95,617853;145,622206;72,528568;28,984194;25,887295;82,311598;91,056959
89,398159;111,455008;129,905532;129,995168;131,643743;89,88688;29,342636;33,69217;64,165236;73,160665
77,273922;85,567732;118,38313;147,936201;102,114161;211,811523;28,443758;27,368145;65,756814;68,694443
92,926278;115,229808;129,92109;120,656764;126,413962;139,225111;30,700123;29,87617;90,085933;80,140684
87,09337;95,520236;110,621723;99,633819;127,690614;107,014403;29,764292;25,004713;56,742001;82,962948
82,8322;107,55922;114,828822;123,026104;91,767895;181,369322;26,153842;31,391492;90,107022;65,343359
99,724793;114,61674;130,83358;88,529063;164,77413;114,166394;27,411049;27,914118;90,418008;65,255016
81,018414;77,751288;131,794455;152,184378;137,215164;158,83787;28,260117;35,232179;71,647055;86,958992
96,164249;82,62622;108,759679;134,435129;133,505091;106,003473;29,097713;23,54659;92,003607;72,380686
93,493174;125,97706;127,935409;126,228466;130,414624;185,383507;27,897275;23,926439;61,476319;65,419209
103,317884;70,024741;93,466553;142,360563;176,448182;125,086923;33,401085;29,106628;61,620594;114,250259
77,352229;103,700241;97,323197;140,248906;137,929323;92,235401;30,386969;29,811549;76,281024;80,46747
88,974107;91,42464;125,409503;135,293314;105,272485;138,531121;32,439692;31,47502;91,855438;104,832604
97,328119;69,69886;109,427139;78,579592;127,971655;168,987371;31,435905;30,554305;72,119716;86,550963
